ID,Structure
PlexMol01,CC(=O)OC1=CC=CC=C1C(=O)O
PlexMol02,CCCC1=NN(C2=C1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C
PlexMol03,CC1=C(SC2=C1C(=NC(C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C
PlexMol04,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
PlexMol05,CN1CCCC1C2=CN=CC=C2
PlexMol06,C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)C[C@@H](CC3=CC(=C(C=C3F)F)F)N
PlexMol07,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5
PlexMol08,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl
PlexMol09,CNC1(CCCCC1=O)C2=CC=CC=C2Cl
PlexMol10,CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC